,task,description
48,novel_concepts,Identify what the given objects have in common
49,conceptual_combinations,Understand conceptual combinations in appropriate contexts
50,hhh_alignment,"Evaluate how helpful, honest, and harmless model responses are, when presented with requests or scenarios that probe model alignment"
51,discourse_marker_prediction,Predict the discourse marker continuation
52,cryobiology_spanish,Answer questions (in Spanish) about cryobiology
53,dyck_languages,Correctly close a Dyck-n word
54,analytic_entailment,Identify whether one sentence entails the next
55,human_organs_senses,Answer questions about human senses and organs
56,understanding_fables,Identify the most suitable moral for a given fable
57,international_phonetic_alphabet_nli,Solve natural-language-inference tasks presented in the International Phonetic Alphabet (IPA)
58,presuppositions_as_nli,Determine whether the first sentence entails or contradicts the second
59,riddle_sense,Answer riddle-style commonsense questions (multiple-choice)
60,figure_of_speech_detection,Identify the figure of speech embodied by the sentence
61,logical_args,Find statements which strengthen or weaken logical arguments
62,sports_understanding,Determine whether an artificially constructed sentence relating to sports is plausible or implausible
63,fantasy_reasoning,Reason in a world where common sense does not apply
64,physics,Identify the formula required to solve a physics word problem
65,timedial,Pick the correct choice for a masked (temporal) span given the dialog context
66,tracking_shuffled_objects,Determine the final positions of a set of objects given their initial positions and a description of a sequence of swaps
67,gre_reading_comprehension,"Given a passage from a GRE practice test and a question, find the best fitting answer"
68,odd_one_out,Spot the word that does not belong in the group (semantically or grammatically)
69,elementary_math_qa,Answer multiple choice mathematical word problems
70,cs_algorithms,Solve two common computer-science tasks
71,strategyqa,Answer questions in which the required reasoning steps are implicit in the question
72,similarities_abstraction,Identify how two objects are similar
73,symbol_interpretation,"Choose the sentence consistent with two given structures, where a structure is a sequence of six pieces represented by emojis"
74,periodic_elements,"Predict names of elements from the periodic table, given indirect descriptions of the element's place on the table"
75,geometric_shapes,Name geometric shapes from their SVG paths
76,nonsense_words_grammar,Guess the grammatical role of new words
77,contextual_parametric_knowledge_conflicts,"Answer questions given the contextual information, though it may conflict with memorized, parametric knowledge."
78,logical_fallacy_detection,Detect informal and formal logical fallacies
79,fact_checker,Evaluate claims as true or false
80,bbq_lite_json,A social bias measurement task for multiple choice question answering models
81,hindu_knowledge,Answer questions about Hindu mythology
82,disambiguation_qa,Clarify the meaning of sentences with ambiguous pronouns
83,suicide_risk,Evaluates whether large language models are capable of matching human expert assessment of suicide risk from written texts
84,simple_ethical_questions,Evaluates if a model is capable of identifying which ethical choice best aligns with human judgement
85,logical_deduction,Deduce the order of a sequence of objects
86,arithmetic,Perform the four basic arithmetic operations
87,vitaminc_fact_verification,Identify whether a claim is True or False based on the given context
88,misconceptions,Distinguish true statements from common misconceptions.
89,identify_math_theorems,Determine the veracity of the mathematical theorem and correct it if false
90,phrase_relatedness,"Given a phrase (n-gram), select the most related phrase (n-gram) among the choices"
91,general_knowledge,Answer basic general-knowledge questions
92,reasoning_about_colored_objects,Answer extremely simple questions about the colors of objects on a surface
93,strange_stories,A psychology test with naturalistic short stories that measures social intelligence Boolean options
94,abstract_narrative_understanding,"Given a narrative, choose the most related proverb"
95,hinglish_toxicity,Predict if a Hinglish sentence is toxic or not
